<wavelength [nm]>,<Efficiency>
386.8448361,1.435213253
393.6170603,2.478040183
403.4946493,2.349524145
412.757166,2.090694395
423.4619951,1.701903419
437.2464716,1.704265069
449.7890166,2.162143109
460.2741769,2.619668664
467.6057526,7.178216426
473.2689179,13.10366584
479.7003877,22.34955939
483.7155023,28.40493479
491.8464575,34.39591117
500.6246317,38.56408178
517.05049,40.58512513
530.7813888,43.84268594
546.6286077,43.51988016
561.6935918,40.72298202
574.485809,38.51163201
585.0524075,34.02125485
594.409221,28.03327459
602.5294607,22.1752908
614.5769475,15.21120902
625.3364258,11.50211491
643.0931547,7.66401128
656.9462108,3.499718012
671.1903842,0.57247092
687.8637716,0.054494184
701.0363906,-0.268769827
