# theta,S11,S12,S33,S34
0.000000000000000000e+00,8.200772930899785251e+01,0.000000000000000000e+00,8.200772930899785251e+01,0.000000000000000000e+00
8.726646259971647737e-03,7.153351221780008018e+01,-7.031569946413185335e-03,7.153348083577823502e+01,6.663548998049506622e-02
1.745329251994329547e-02,6.025382136298248525e+01,-1.803453073748784163e-02,6.025359747411854983e+01,1.632636665026891976e-01
2.617993877991494495e-02,5.174329063641508952e+01,-2.822964700074237498e-02,5.174271238904581338e+01,2.429888804801958457e-01
3.490658503988659095e-02,4.555186544190026154e+01,-3.743137071179347686e-02,4.555082523334356637e+01,3.055563628290576261e-01
4.363323129985823695e-02,4.094029125894699916e+01,-4.631262736516106315e-02,4.093869946052409148e+01,3.580362954269666886e-01
5.235987755982988989e-02,3.735145877248346125e+01,-5.526060725175341304e-02,3.734922108663597839e+01,4.050961853734866835e-01
6.108652381980153590e-02,3.443682169734912435e+01,-6.433992610612904173e-02,3.443383790106222619e+01,4.487275256709635229e-01
6.981317007977318190e-02,3.198805475472943272e+01,-7.347312232224645356e-02,3.198422392067988085e+01,4.895598877291824635e-01
7.853981633974482790e-02,2.987898446288718901e+01,-8.255163193609504901e-02,2.987421029366172931e+01,5.276903368397558580e-01
8.726646259971647390e-02,2.803078719609511182e+01,-9.149701622984984795e-02,2.802498111398340797e+01,5.631098380102828038e-01
9.599310885968811990e-02,2.639136523310705940e+01,-1.002793675478805824e-01,2.638444623925415300e+01,5.959023104533667237e-01
1.047197551196597798e-01,2.492347658357476803e+01,-1.088982624140708566e-01,2.491536934041241480e+01,6.262561866201070693e-01
1.134464013796314258e-01,2.359875228029977023e+01,-1.173605635586039142e-01,2.358938535896862376e+01,6.543959589969201573e-01
1.221730476396030718e-01,2.239480624689639399e+01,-1.256726180523504155e-01,2.238411114242358479e+01,6.805303760524203938e-01
1.308996938995747039e-01,2.129364788066980196e+01,-1.338340098377557297e-01,2.128155892379221825e+01,7.048250115625354084e-01
1.396263401595463638e-01,2.028073523037143389e+01,-1.418314265432183419e-01,2.026719021779858565e+01,7.273967324942089974e-01
